sentence_1;sentence_2;similarity_score
Syrups for beverages;Non-alcoholic preparations for making beverages;1.0
Cultural activities;Fetes (Organisation of -) for cultural purposes;1.0
Investment services;Computer analyses of stock exchange information;1.0
Radio advertising;Advertising, marketing and promotional services;1.0
Vitamin drinks;Dietetic beverages adapted for medical purposes;1.0
Bill-posting;Advertising, marketing and promotional services;1.0
Advertising;Preparing and placing advertisements for others;1.0
Beer wort;Non-alcoholic preparations for making beverages;1.0
Malt wort;Non-alcoholic preparations for making beverages;1.0
Teaching;Arranging and conducting of educational courses;1.0
Orgeat;Non-alcoholic preparations for making beverages;1.0
Rental of advertising time on communication media;Provision of advertising space, time and media;1.0
Checking (supervision) apparatus and instruments;Diagnostic apparatus, not for medical purposes;1.0
Skin care creams, other than for medical use;Cosmetics for protecting the skin from sunburn;1.0
Dietetic substances adapted for medical use;Dietetic substances adapted for veterinary use;1.0
Arranging and conducting of symposiums;Arranging of conventions for training purposes;1.0
Services for providing food and drink;Providing of food and drink via a mobile truck;1.0
Services for providing food and drink;Services for the preparation of food and drink;1.0
Services for providing food and drink;Serving food and drink in restaurants and bars;1.0
Services for providing food and drink;Wine tasting services (provision of beverages);1.0
Human hygiene and beauty care;Advisory services relating to beauty treatment;1.0
Rental of advertising space;Provision of advertising space, time and media;1.0
Sales promotion for others;Search engine optimization for sales promotion;1.0
Telecommunication services;Operating of electronic communications systems;1.0
Transportation information;Professional consultancy relating to transport;1.0
Human healthcare services;Providing health care information by telephone;1.0
Human healthcare services;Providing smoking cessation treatment services;1.0
Human healthcare services;Weight reduction diet planning and supervision;1.0
Publishing and reporting;Publication of educational and training guides;1.0
Publishing and reporting;Publication of scientific information journals;1.0
Food and drink catering;Services for the preparation of food and drink;1.0
Serving food and drinks;Services for the preparation of food and drink;1.0
Serving food and drinks;Serving food and drink in restaurants and bars;1.0
Serving food and drinks;Wine tasting services (provision of beverages);1.0
Fish-based foodstuffs;Chilled foods consisting predominately of fish;1.0
Industrial chemicals;Concrete preservatives, except paints and oils;1.0
Insulating materials;Insulating materials made of polyethylene foam;1.0
Business management;Commercial or industrial management assistance;1.0
Business management;Management of telephone call centers for other;1.0
Restaurant services;Serving food and drink in restaurants and bars;1.0
Insurance services;Consultancy in the field of insurance services;1.0
Travel arrangement;Reservation services for transportation by sea;1.0
Finance services;Fund raising services via crowdfunding website;1.0
Investment funds;Management services for real estate investment;1.0
Coaxial cables;Signal cables for IT, AV and telecommunication;1.0
Cosmetics;Cosmetic hair regrowth inhibiting preparations;1.0
Cosmetics;Cosmetics for protecting the skin from sunburn;1.0
Cosmetics;Moist wipes for sanitary and cosmetic purposes;1.0
Cosmetics;Moist wipes impregnated with a cosmetic lotion;1.0
Transport;Arranging transportation by land, sea, and air;1.0
